CodiceStazione;NomeStazione;NomeComune;Provincia;QuotaStazione;EPSG3003_X;EPSG3003_Y;EPSG4258_LON;EPSG4258_LAT;Bacino;SottoBacino;ZeroIdrometrico
0387;Monte Baldo;MALCESINE;VR;1756;1645082;5070556;10.86569445;45.77313889;PO: VENETO;PO: AFFLUENTI DEL LAGO BENACO O DI GARDA;>>
0028;Monte Cesen;VALDOBBIADENE;TV;1552;1734165;5092424;12.020877;45.945242;PIAVE: VENETO;PIAVE;>>
0602;Monte Cherz;LIVINALLONGO DEL COL DI LANA;BL;2010;1720815;5155351;11.87823031;46.51528101;;;>>
0201;Monte Grande (Teolo);TEOLO;PD;465;1709358;5026653;11.67281842;45.36192058;BRENTA: VENETO;BRENTA - Bacchiglione;>>
0391;Monte Grappa;BORSO DEL GRAPPA;TV;1540;1715987;5083325;11.78246745;45.86939886;BRENTA: VENETO;BRENTA: VALLE S. FELICITA;>>
0386;Monte Lisser;ENEGO;VI;1422;1705468;5092405;11.65097222;45.95425001;BRENTA: VENETO;BRENTA: VALSUGANA;>>
0394;Monte Piana;AURONZO DI CADORE;BL;2306;1748472;5167546;12.24475;46.61522222;ADIGE: VENETO;ADIGE: RIENZA;>>
0081;Monte Summano;PIOVENE ROCCHETTE;VI;597;1687851;5069238;11.41482813;45.7509777;BRENTA: VENETO;BRENTA - Bacchiglione - Timonchio;>>
0392;Monte Tomba;BOSCO CHIESANUOVA;VR;1624;1661138;5060977;11.06888889;45.68341666;ADIGE: VENETO;ADIGE;>>
0074;Monte Verena;ROANA;VI;2002;1687178;5089173;11.41392805;45.93042182;BRENTA: VENETO;BRENTA - Val d'Assa;>>
0083;Montecchio Precalcino;MONTECCHIO PRECALCINO;VI;75;1698514;5059321;11.54773196;45.65882861;BRENTA: VENETO;BRENTA - Bacchiglione - Timonchio;>>
0149;Montegalda;MONTEGALDA;VI;22;1708188;5036362;11.66198536;45.44957583;BRENTA: VENETO;BRENTA - Bacchiglione;>>
